contract_id,document_name,provider_names,signed_date,contract_type,name,abi,tax_code,vat_code,vat_group,pec_mail,courtesy_mail,referente_fattura_mail,sdd,sdi_code,membership_id,product_id,institution_type,business_register_number,registered_office,zip_code,county,country,city,infocamere_pec,infocamere_name,status
pagopa-psp-128,CI094_A_BANCO_DI_DESIO,BDBDIT22XXX;ABI03440;BDBDIT22,07/02/2020,A,Banco di Desio e della Brianza - S.p.A.,03440,01181770155,10537880964,FALSE,segreteria@pec.bancodesio.it,,,FALSE,75HCYT1,pagopa-psp-128,,,,,,,-,,ERRORE 404,ERRORE 404,ERROR
pagopa-psp-148,CI114_A_BANCA_BPER,ABI05387;BPMOIT22,07/02/2020,A,BPER Banca S.p.A.,05387,01153230360,03830780361,TRUE,cbi.dircomm@pec.gruppobper.it,,,FALSE,SUBM70N,pagopa-psp-148,,,,,,,-,,ERRORE 404,ERRORE 404,ERROR
pagopa-psp-142,CI108_A_AFONE_PAIEMENT,ABI36071,07/02/2020,A,Afone Paiment,36071,09828070962,09828070962,FALSE,afonepaiement@legalmail.it,,,FALSE,,pagopa-psp-142,,,,,,,-,,ERRORE 404,ERRORE 404,ERROR
pagopa-psp-02,CI003_B_Banca Sella SpA,SELBIT2B;ABI03268,07/02/2020,B,Banca Sella S.p.A.,03268,02224410023,02675650028,TRUE,bs_segreteria@pec.sella.it,,,FALSE,,pagopa-psp-02,,,,,,,-,,ERRORE 404,ERRORE 404,ERROR
pagopa-psp-124,CI090_A_CASSA_RISPARMIO_DI_BRA,,07/02/2020,A,Cassa di Risparmio di Bra S.p.A.,06095,00200060044,03830780361,TRUE,cbi.dircomm@pec.gruppobper.it,,,FALSE,,pagopa-psp-124,,,,,,,-,,ERRORE 404,ERRORE 404,ERROR
pagopa-psp-238,CI206_A_BCC G Toniolo di San Cataldo,ICRAITRRQG0;ABI08952,07/02/2020,A,Banca di Credito Cooperativo 'G. Toniolo' di San Cataldo (Caltanissetta) Società Cooperativa,08952,00055510853,15240741007,TRUE,08952.bcc@actaliscertymail.it,,,FALSE,,pagopa-psp-382,,,,,,,-,,ERRORE 404,ERRORE 404,ERROR
pagopa-psp-275,CI244_A_BCC Agrobresciano,ICRAITRRFZ0;ABI08575,07/02/2020,A,Banca di Credito Cooperativo Agrobresciano - Società Cooperativa,08575,00284980174,15240741007,TRUE,bancaonline@agrobresciano.legalmail.it,,,FALSE,,pagopa-psp-275,,,,,,,-,,ERRORE 404,ERRORE 404,ERROR
pagopa-psp-149,CI115_A_BANCA_DI_SALUZZO,,07/02/2020,A,Cassa di Risparmio di Saluzzo S.p.A.,06295,00243830049,03830780361,TRUE,cbi.dircomm@pecgruppobper.it,,,FALSE,,pagopa-psp-149,,,,,,,-,,ERRORE 404,ERRORE 404,ERROR
pagopa-psp-155,CI121_A_BANCA_DEI_SIBILLINI,ABI08456,07/02/2020,A,Banca dei Sibillini - Credito Cooperativo di Casavecchia - Società Cooperativa,08456,00118970433,15240741007,TRUE,banca.sibillini@legalmail.it,,,FALSE,9GHPHLV,pagopa-psp-155,,,,,,,-,,ERRORE 404,ERRORE 404,ERROR
pagopa-psp-206,CI174_A_BCC Colli Albani,ABI08951,07/02/2020,A,Banca di Credito Cooperativo dei Colli Albani - Società Cooperativa,08951,01103500581,15240741007,TRUE,postacertificata@cert.bcccollialbani.it,,,FALSE,,pagopa-psp-206,,,,,,,-,,ERRORE 404,ERRORE 404,ERROR
pagopa-psp-258,CI226_B_Banca del Fucino,ABI03124,07/02/2020,B,Banca del Fucino - S.p.A.,03124,04256050875,04256050875,FALSE,bancafucino@postacert.cedacri.it,,,FALSE,,pagopa-psp-258,,,,,,,-,,ERRORE 404,ERRORE 404,ERROR
pagopa-psp-253,CI221_A_Illimity Bank,ABI03395,07/02/2020,A,Illimity Bank S.p.A.,03395,03192350365,12020720962,TRUE,illimity@pec.illimity.com,,marco.montagnani@illimity.com,,FALSE,,,,,,,,-,,ERRORE 404,ERRORE 404,ERROR
pagopa-psp-352,CI327_A_BANCA DI CREDITO COOPERATIVO SAN GIUSEPPE DI MUSSOMELI,,07/02/2020,A,Banca di Credito Cooperativo San Giuseppe di Mussomeli - Società Cooperativa,08975,00056550858,15240741007,TRUE,08975.bcc@actaliscertymail.it,,,FALSE,,pagopa-psp-352,,,,,,,-,,ERRORE 404,ERRORE 404,ERROR
pagopa-psp-214,CI182_A_BCC Agrigentino,ICRAITRRUS0;ABI07108,07/02/2020,A,Banca di Credito Cooperativo Agrigentino - Società Cooperativa,07108,02428850842,15240741007,TRUE,bccagrigentino@legalmail.it,,,FALSE,,pagopa-psp-382,,,,,,,-,,ERRORE 404,ERRORE 404,ERROR
pagopa-psp-257,CI225_A_BCC Putignano,ABI07113,07/02/2020,A,Banca di Credito Cooperativo di Putignano - Società Cooperativa per Azioni,07113,06570340726,15240741007,TRUE,pec@pec.bccputignano.it,,,FALSE,9GHPHLV,pagopa-psp-257,,,,,,,-,,ERRORE 404,ERRORE 404,ERROR
pagopa-psp-227,CI195_A_Banca Intermobiliare,ABI03043,07/02/2020,A,Banca Intermobiliare di Investimenti e Gestioni S.p.A.,03043,02751170016,02751170016,TRUE,08434.bcc@actaliscertymail.it,,fornitori@bancaintermobiliare.com,FALSE,,pagopa-psp-227,,,,,,,-,,ERRORE 404,ERRORE 404,ERROR
pagopa-psp-298,CI272_A_Unicredit,UNCRITMM;ABI02008;UNCR-COR;02008,07/02/2020,A,UniCredit S.p.A.,02008,00348170101,00348170101,TRUE,direzione.enti@pec.unicredit.eu,,pasqualegiuseppe.barbalace@unicredit.eu,Andrea.Romeo@unicredit.eu,FALSE,,,,,,,,-,,ERRORE 404,ERRORE 404,ERROR
pagopa-psp-277,CI246_B_Banca Popolare di Bari,BPBAIT3B;ABI05424,07/02/2020,B,Banca Popolare di Bari - Società Cooperativa per Azioni in A.S.,05424,00254030729,16868201001,TRUE,segreteriageneralebpb@postacert.cedacri.it,,r.delaurentiis@popolarebari.it,FALSE,75HCYT1,pagopa-psp-277,,,,,,,-,,ERRORE 404,ERRORE 404,ERROR
pagopa-psp-231,CI199_B_BFF BANK SPA,ABI05000,07/02/2020,B,BFF Bank S.p.A.,05000,07960110158,07960110158,FALSE,tesoreriaenti@pec.depobank.it,,,FALSE,SUBM70N,pagopa-psp-231,,,,,,,-,,ERRORE 404,ERRORE 404,ERROR
pagopa-psp-209,CI177_A_BCC Mutuo Soccorso Gangi,ABI08958,07/02/2020,A,Banca Di Credito Cooperativo Mutuo Soccorso Di Gangi - Società Cooperativa,08958,00101550820,15240741007,TRUE,08958.bcc@actaliscertymail.it,,,FALSE,,pagopa-psp-305,,,,,,,-,,ERRORE 404,ERRORE 404,ERROR
